石块|[(300, 1)]
而西|[(639, 1)]
莫塔|[(239, 1), (257, 1), (467, 1), (508, 1), (518, 3)]
爱沙尼亚|[(455, 10)]
遭拒|[]
不差|[(441, 1)]
头槌|[(244, 1)]
本周|[(65, 1), (78, 1), (89, 1), (98, 1), (99, 1), (100, 1), (101, 1), (110, 1), (118, 1), (132, 1), (142, 1), (207, 3), (213, 1), (228, 1), (229, 1), (239, 1), (266, 1), (306, 1), (350, 1), (352, 1), (356, 1), (421, 1), (447, 1), (464, 1), (493, 1), (518, 1), (519, 1), (618, 1)]
努力奋斗|[(92, 1), (171, 1)]
街头|[(15, 1), (438, 1)]
现身|[(6, 1), (82, 1), (98, 1)]
度假|[(16, 1), (48, 1), (59, 1), (69, 1), (84, 1), (86, 1), (109, 1), (115, 1), (357, 1), (397, 1), (480, 1), (583, 1), (614, 1)]
平曼联|[(166, 1)]
限制|[(30, 1), (37, 2), (145, 1), (476, 1)]
大面积|[(446, 1)]
黑手|[(78, 2)]
乌青|[(188, 1)]
盛赞|[(172, 1), (419, 1), (572, 1)]
外租|[(64, 1), (75, 1), (79, 1), (82, 1), (132, 1), (143, 1), (181, 1), (200, 1), (229, 1), (529, 1), (543, 1), (636, 1)]
赫时|[(127, 1)]
立柱|[(87, 3), (146, 1), (188, 1), (308, 3), (344, 1), (345, 2), (369, 1), (378, 1), (390, 1), (468, 3), (504, 1), (508, 1), (601, 1), (657, 1)]
利物浦队|[(26, 1), (43, 1), (232, 1), (348, 1), (538, 1), (549, 1)]
劝说|[(239, 1), (243, 1), (483, 1)]
戴维斯|[(202, 1), (207, 1), (307, 2), (324, 1), (332, 1), (338, 4), (351, 1), (359, 1), (648, 2)]
高昂|[(30, 1), (33, 1), (549, 1), (564, 1)]
另攀高枝|[(465, 1)]
走廊|[(210, 1)]
整支|[(270, 1), (290, 1), (450, 1)]
争执不下|[(47, 1)]
中罗伊|[(415, 1)]
送走|[(529, 1), (668, 1)]
插|[(188, 1), (307, 1), (308, 2), (475, 1), (504, 1), (559, 1), (645, 1), (648, 2)]
皮尔|[(113, 1), (146, 1), (220, 1), (648, 4)]
红黑|[(75, 1), (408, 1), (483, 1), (540, 1), (617, 1)]
表演赛|[(663, 1)]
全球|[(151, 1), (486, 2)]
刑法|[(103, 1)]
低分|[(370, 1)]
高价|[(5, 1), (30, 1), (100, 1), (142, 1), (207, 1)]
戴尔|[(51, 1), (75, 1), (146, 2), (197, 1), (220, 1), (307, 1), (390, 1), (393, 1), (648, 1)]
挪威|[(118, 1), (592, 2), (617, 2), (618, 2)]
不太好|[(432, 1)]
费雷拉|[(94, 2)]
人墙|[(409, 1)]
前半段|[(95, 1)]
合同|[(2, 2), (11, 1), (13, 3), (15, 1), (17, 1), (22, 2), (26, 2), (27, 1), (31, 1), (34, 1), (38, 1), (39, 1), (49, 1), (52, 1), (57, 1), (63, 4), (67, 1), (68, 2), (69, 2), (73, 1), (75, 1), (76, 2), (78, 3), (82, 2), (89, 3), (90, 1), (91, 1), (98, 1), (104, 2), (118, 3), (120, 1), (126, 1), (128, 1), (131, 2), (132, 1), (138, 2), (141, 1), (150, 1), (152, 1), (157, 1), (160, 1), (161, 2), (164, 1), (165, 1), (169, 1), (170, 1), (173, 1), (177, 1), (180, 1), (183, 1), (186, 1), (208, 2), (209, 1), (210, 1), (212, 1), (223, 1), (227, 2), (232, 2), (239, 2), (240, 2), (243, 1), (247, 2), (258, 2), (263, 1), (277, 3), (281, 1), (284, 2), (290, 1), (299, 2), (331, 1), (340, 1), (343, 2), (349, 1), (350, 1), (365, 2), (371, 5), (382, 1), (395, 2), (400, 1), (403, 2), (408, 1), (412, 1), (413, 1), (429, 2), (430, 1), (433, 2), (435, 1), (442, 2), (445, 2), (449, 1), (453, 1), (456, 2), (462, 1), (467, 2), (470, 1), (471, 1), (474, 2), (483, 1), (485, 1), (488, 1), (489, 1), (494, 2), (496, 1), (505, 1), (506, 2), (510, 1), (513, 1), (514, 2), (518, 1), (520, 1), (522, 1), (524, 1), (525, 1), (527, 1), (531, 1), (536, 3), (537, 1), (540, 2), (543, 1), (544, 1), (545, 1), (548, 1), (566, 1), (567, 1), (575, 1), (577, 2), (582, 1), (593, 4), (594, 1), (603, 1), (604, 1), (611, 2), (612, 4), (617, 1), (618, 1), (620, 1), (627, 1), (628, 1), (633, 1), (634, 1), (636, 1), (643, 1), (665, 1), (666, 1), (667, 1)]
冯后|[(207, 1)]
星期|[(228, 1), (539, 1)]
这两项|[(613, 1)]
敲定|[(30, 1), (104, 1), (239, 2), (263, 1), (617, 1), (618, 1), (624, 1)]
罗德里格|[(36, 1), (243, 1)]
三次|[(148, 1), (149, 1), (207, 1), (267, 1), (487, 1), (641, 1), (655, 2)]
美照|[(16, 1)]
赞扬|[(93, 1), (149, 1), (417, 1), (601, 1), (668, 1)]
没什么|[(155, 2), (265, 2), (318, 1)]
上升|[(612, 1), (624, 1), (646, 1), (663, 1)]
合影|[(16, 1), (48, 1), (171, 1), (224, 1), (265, 1), (340, 1), (586, 2), (618, 1)]
拉尼|[(450, 3)]
具体|[(29, 1), (37, 1), (43, 1), (59, 1), (76, 1), (103, 1), (126, 1), (157, 3), (217, 1), (240, 1), (296, 1), (323, 1), (409, 1), (456, 1), (517, 1), (632, 1)]
有失|[(652, 1)]
近日|[(16, 1), (17, 1), (45, 1), (50, 1), (59, 1), (68, 1), (76, 1), (82, 2), (98, 1), (111, 1), (118, 1), (127, 2), (161, 2), (201, 1), (239, 1), (256, 1), (322, 1), (353, 1), (397, 1), (412, 1), (483, 1), (518, 1), (592, 1), (595, 1), (617, 2), (665, 1)]
能快|[(562, 1)]
巴尔|[(95, 1), (106, 1), (483, 1), (550, 1), (617, 1)]
左脚|[(7, 1), (87, 6), (171, 1), (191, 1), (323, 1), (324, 2), (338, 1), (351, 1), (359, 1), (378, 1), (381, 1), (390, 3), (391, 1), (398, 1), (455, 2), (468, 5), (601, 2), (602, 1), (652, 1)]
奥特|[(501, 5)]
无话不谈|[(209, 1)]
汉诺威|[(617, 4)]
权健|[(77, 1), (86, 1), (142, 1)]
到期|[(22, 2), (38, 1), (57, 1), (63, 3), (67, 1), (68, 1), (69, 1), (73, 1), (75, 1), (76, 1), (89, 1), (90, 1), (91, 1), (98, 1), (118, 2), (138, 1), (161, 1), (165, 1), (169, 1), (170, 1), (177, 1), (180, 1), (186, 1), (208, 1), (239, 1), (247, 1), (284, 1), (298, 1), (299, 1), (340, 1), (371, 1), (395, 2), (403, 2), (408, 1), (412, 1), (413, 1), (429, 1), (442, 2), (449, 1), (456, 1), (460, 1), (462, 1), (469, 1), (483, 1), (485, 1), (489, 1), (506, 1), (514, 1), (518, 2), (522, 1), (524, 1), (531, 1), (537, 1), (540, 1), (543, 1), (566, 1), (567, 1), (575, 1), (604, 1), (611, 1), (620, 2), (627, 1), (665, 1)]
莱诺|[(89, 3), (573, 1), (609, 1)]
布达佩斯|[(49, 1)]
马特克|[(580, 1)]
依次|[(192, 1)]
技术|[(98, 1), (151, 1), (233, 1), (239, 1), (623, 1), (624, 1), (648, 1), (651, 1)]
即可|[(599, 1), (651, 1)]
胡桑普|[(118, 1)]
部落|[(110, 1)]
接任|[(273, 1)]
边路|[(15, 1), (28, 1), (70, 1), (75, 1), (262, 1), (530, 1), (649, 2), (667, 3)]
加利亚尼|[(489, 1)]
紧密联系|[(412, 1), (416, 1)]
双子星|[(51, 1), (261, 1), (588, 1), (603, 1)]
雷耶斯|[(85, 1), (87, 1)]
处于|[(104, 1), (175, 1), (187, 1), (204, 1), (242, 1), (257, 1), (279, 1), (308, 1), (376, 1), (378, 1), (380, 1), (420, 1), (595, 2), (601, 1), (629, 1), (634, 1), (649, 1)]
坚定|[(240, 1), (529, 1), (546, 1)]
耶|[(235, 1), (257, 3), (412, 1), (501, 1), (504, 1), (523, 1), (578, 1)]
坚实|[(279, 1)]
看在眼里|[(660, 1)]
考|[(369, 1)]
码处|[(171, 1)]
芝加哥|[(35, 1)]
召集|[(171, 1)]
码外|[(121, 1)]
莱加|[(368, 1), (409, 3)]
用以|[(349, 1)]
麦孔|[(639, 1)]
付款|[(228, 1)]
雪茄|[(663, 2)]
浮动|[(26, 1), (27, 1), (28, 1), (29, 1), (82, 1), (138, 1), (577, 1)]
先声夺人|[(188, 1), (250, 1)]
场场|[(437, 1)]
现在|[(13, 2), (17, 1), (18, 1), (24, 1), (28, 1), (30, 1), (36, 1), (39, 1), (48, 1), (51, 1), (56, 1), (63, 1), (68, 1), (69, 1), (74, 4), (75, 1), (76, 1), (78, 2), (80, 1), (92, 1), (93, 1), (101, 2), (102, 3), (111, 2), (113, 1), (119, 2), (121, 4), (129, 1), (130, 1), (135, 1), (147, 1), (148, 3), (150, 1), (153, 1), (156, 3), (157, 1), (169, 1), (171, 12), (176, 2), (183, 1), (196, 1), (199, 1), (204, 1), (207, 4), (209, 1), (210, 2), (214, 1), (217, 1), (225, 1), (230, 1), (233, 1), (237, 1), (248, 2), (250, 1), (268, 1), (270, 3), (272, 1), (273, 1), (278, 2), (279, 2), (280, 1), (287, 1), (288, 1), (295, 1), (301, 1), (311, 2), (318, 1), (335, 2), (349, 1), (352, 1), (361, 1), (374, 2), (377, 1), (379, 1), (383, 3), (384, 5), (386, 2), (404, 1), (407, 1), (408, 1), (411, 1), (412, 1), (414, 2), (415, 1), (416, 2), (418, 1), (419, 2), (420, 1), (428, 1), (430, 1), (432, 4), (433, 1), (437, 1), (440, 1), (441, 1), (446, 5), (448, 1), (450, 2), (456, 2), (465, 1), (467, 1), (482, 2), (485, 1), (496, 1), (497, 2), (501, 2), (506, 1), (507, 1), (510, 1), (512, 1), (515, 1), (517, 1), (525, 2), (529, 1), (534, 1), (537, 1), (540, 1), (553, 1), (558, 2), (560, 1), (562, 2), (571, 1), (574, 1), (578, 1), (580, 2), (582, 1), (583, 1), (584, 1), (585, 1), (587, 1), (593, 4), (597, 1), (611, 3), (614, 2), (619, 2), (620, 2), (624, 2), (629, 1), (631, 2), (639, 3), (647, 1), (649, 1), (650, 1), (651, 3), (660, 1), (663, 3)]
泰蒙|[(118, 1), (131, 1), (173, 4)]
场地|[(37, 3), (94, 2), (252, 1), (303, 1), (418, 1), (599, 1)]
显然|[(19, 1), (50, 1), (94, 2), (135, 1), (149, 1), (154, 1), (206, 1), (219, 1), (232, 1), (241, 1), (261, 1), (265, 1), (269, 1), (278, 1), (311, 3), (321, 1), (329, 1), (346, 1), (415, 1), (453, 1), (456, 1), (472, 1), (480, 1), (490, 1), (491, 1), (515, 1), (517, 3), (529, 1), (582, 1), (649, 3), (651, 1)]
传中|[(174, 1), (206, 1), (244, 1), (257, 2), (307, 1), (324, 1), (338, 4), (351, 5), (358, 2), (359, 5), (368, 2), (369, 1), (370, 2), (378, 1), (384, 1), (455, 1), (516, 1), (559, 1), (601, 1), (613, 1), (645, 1), (648, 3), (652, 1)]
包夹|[(648, 1)]
另加|[(60, 1), (424, 1), (503, 1)]
兰齐尼|[(583, 3), (652, 2), (666, 3)]
热闹|[(244, 1)]
地说|[(78, 1), (488, 1)]
附近|[(10, 1), (171, 1), (244, 1), (323, 1), (338, 1), (345, 1), (368, 1), (401, 1), (454, 1), (559, 1), (560, 1), (642, 1), (648, 1)]
可不是|[(171, 1)]
里卡多|[(98, 1), (147, 1), (258, 1), (264, 1), (577, 1)]
热门|[(164, 1), (429, 1), (507, 1), (556, 1), (629, 1), (654, 1)]
大批|[(33, 1)]
伊特|[(578, 7)]
助兴|[(0, 1)]
针对|[(303, 1), (432, 1), (577, 1)]
航班|[(171, 1)]
但格列|[(364, 1)]
几内亚|[(124, 1), (320, 1), (344, 1)]
家人|[(16, 1), (86, 1), (171, 1), (196, 2), (284, 1), (501, 1), (583, 1)]
高居榜首|[(43, 1)]
因在|[(452, 1)]
大打|[(155, 1)]
曾一度|[(188, 1), (421, 1), (661, 1)]
无球|[(343, 1)]
每日|[(6, 3), (17, 1), (22, 1), (41, 1), (45, 1), (51, 1), (75, 2), (89, 1), (98, 1), (116, 1), (118, 2), (120, 1), (152, 1), (154, 1), (161, 2), (163, 1), (164, 1), (167, 1), (168, 1), (170, 1), (171, 1), (198, 1), (207, 1), (213, 1), (229, 1), (236, 1), (262, 1), (268, 2), (273, 1), (281, 1), (283, 1), (296, 1), (297, 1), (300, 2), (306, 1), (311, 1), (322, 1), (340, 1), (350, 1), (356, 1), (394, 2), (412, 4), (424, 1), (437, 1), (467, 2), (496, 1), (498, 1), (510, 1), (518, 3), (520, 1), (523, 2), (543, 3), (545, 1), (546, 2), (553, 2), (560, 1), (577, 1), (581, 1), (615, 1), (617, 3), (620, 1), (625, 2), (630, 1), (639, 1), (666, 1), (667, 1), (668, 1)]
强项|[(107, 1)]
回忆起|[(177, 1), (231, 1)]
一鸣惊人|[(175, 1)]
制造|[(203, 1), (250, 1), (311, 1), (419, 1), (468, 1), (516, 1)]
荣膺|[(422, 1)]
空缺|[(94, 1), (165, 1), (424, 1)]
第一分钟|[(380, 1)]
勒蒂西埃|[(505, 2)]
黑|[(95, 1), (231, 1), (265, 1), (424, 1)]
右翼|[(174, 1)]
孔帕尼为|[(384, 1)]
芬威|[(198, 1), (240, 5), (283, 1), (576, 1), (624, 1)]
瓦尔迪|[(113, 1), (188, 3), (220, 1), (370, 6)]
但安迪|[(273, 1)]
不愿|[(33, 1), (72, 1), (75, 1), (76, 1), (98, 1), (149, 1), (467, 1), (517, 1)]
格雷罗|[(45, 3), (85, 1), (87, 1)]
欲|[(601, 1), (614, 1)]
跟着|[(171, 2), (415, 1), (497, 1), (568, 1)]
史册|[(592, 1)]
次|[(4, 1), (5, 1), (8, 1), (16, 2), (22, 1), (23, 1), (38, 1), (49, 1), (58, 1), (66, 1), (79, 1), (83, 1), (90, 3), (91, 1), (95, 2), (100, 3), (113, 1), (120, 1), (123, 2), (124, 1), (126, 2), (128, 1), (149, 1), (157, 1), (165, 1), (167, 10), (169, 1), (171, 1), (174, 7), (175, 1), (177, 2), (194, 4), (197, 1), (208, 1), (233, 1), (235, 1), (246, 2), (247, 3), (262, 1), (272, 1), (274, 1), (275, 2), (281, 1), (284, 1), (294, 5), (302, 1), (310, 3), (311, 1), (324, 1), (331, 3), (333, 1), (340, 1), (342, 1), (346, 5), (358, 1), (384, 1), (386, 1), (389, 1), (394, 1), (397, 1), (400, 1), (408, 1), (431, 1), (441, 1), (454, 1), (462, 1), (463, 1), (473, 1), (476, 2), (485, 2), (489, 2), (509, 3), (514, 1), (521, 1), (526, 1), (533, 1), (537, 2), (542, 1), (557, 3), (567, 1), (578, 1), (582, 1), (583, 1), (595, 21), (597, 1), (601, 1), (604, 1), (611, 1), (612, 2), (629, 1), (635, 1), (636, 1), (639, 4), (643, 1), (648, 2), (652, 1), (655, 1), (658, 1), (663, 2)]
欠|[(273, 1)]
用到|[(576, 1)]
打得|[(408, 1), (415, 1), (649, 1)]
欧|[(269, 1), (323, 2), (338, 1)]
多米尼克|[(337, 1)]
暴露|[(420, 1)]
欧联|[(94, 1), (111, 1), (218, 1), (419, 1), (477, 1), (614, 1)]
对弃|[(409, 1)]
来自|[(16, 1), (56, 1), (58, 1), (66, 1), (89, 1), (95, 1), (98, 1), (103, 3), (107, 1), (117, 3), (118, 1), (150, 1), (171, 2), (231, 1), (239, 1), (260, 1), (277, 1), (281, 1), (284, 1), (286, 1), (288, 1), (297, 1), (305, 1), (356, 1), (387, 1), (432, 1), (456, 2), (575, 1), (580, 1), (592, 1), (660, 1), (663, 1)]
大手笔|[(207, 1), (253, 2), (532, 1)]
调查|[(184, 2), (303, 1), (322, 4), (426, 1), (481, 2), (496, 1), (546, 1), (551, 1), (553, 1), (554, 3), (589, 1)]
马丁|[(171, 1), (390, 1), (409, 2)]
启用|[(268, 1), (661, 1)]
看台|[(335, 1), (398, 2), (437, 10), (447, 6)]
卡斯特罗|[(68, 1), (157, 2)]
马下|[(475, 1)]
翼卫|[(170, 1)]
佩斯利|[(194, 1)]
问鼎|[(94, 1), (207, 1)]
冈特|[(202, 1)]
手部|[(149, 1)]
碧海|[(397, 1)]
夜店|[(363, 4)]
人民币|[(98, 2)]
终老|[(320, 1)]
事会|[(171, 1)]
痛|[(440, 2)]
本队|[(82, 1)]
找|[(239, 1), (241, 1), (265, 1), (277, 1), (362, 1), (500, 1), (582, 1), (590, 1)]
英俊|[(137, 1)]
首份|[(17, 1), (229, 1), (518, 2), (622, 1)]
愿花|[]
杰内|[(508, 1)]
先是|[(78, 1), (146, 1), (456, 1), (516, 1)]
广泛|[(16, 1)]
半个|[(4, 1)]
暧昧|[(6, 1), (17, 1), (45, 1), (51, 1), (75, 1), (82, 1), (89, 1), (98, 1), (118, 1), (239, 1), (412, 1), (467, 1), (483, 1), (518, 1), (523, 1), (543, 1), (553, 1), (577, 1), (588, 1), (617, 1)]
费兰|[(661, 1)]
没能|[(68, 1), (165, 1), (176, 1), (186, 1), (187, 1), (188, 1), (207, 1), (231, 1), (262, 1), (321, 1), (338, 1), (351, 1), (359, 1), (373, 1), (449, 1), (477, 1), (548, 1), (602, 1), (607, 1), (629, 1), (648, 1)]
山芋|[(89, 1)]
扑|[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 2), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 3), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 2), (36, 1), (37, 1), (38, 1), (39, 1), (40, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 2), (46, 1), (47, 1), (48, 1), (49, 1), (50, 1), (51, 2), (52, 1), (53, 1), (54, 1), (55, 1), (56, 1), (57, 1), (58, 1), (59, 1), (60, 1), (61, 1), (62, 1), (63, 1), (64, 1), (65, 1), (66, 1), (67, 1), (68, 1), (69, 1), (70, 1), (71, 1), (72, 1), (73, 1), (74, 1), (75, 2), (76, 1), (77, 1), (78, 1), (79, 1), (80, 1), (81, 1), (82, 2), (83, 1), (84, 1), (85, 1), (86, 1), (87, 1), (88, 2), (89, 2), (90, 1), (91, 1), (92, 1), (93, 1), (94, 1), (95, 1), (96, 1), (97, 1), (98, 2), (99, 1), (100, 1), (101, 1), (102, 1), (103, 1), (104, 1), (105, 1), (106, 1), (107, 1), (108, 1), (109, 1), (110, 1), (111, 1), (112, 1), (113, 1), (114, 1), (115, 1), (116, 1), (117, 1), (118, 2), (119, 1), (120, 1), (121, 2), (122, 1), (123, 1), (124, 1), (125, 1), (126, 1), (127, 1), (128, 1), (129, 1), (130, 1), (131, 1), (132, 1), (133, 1), (134, 1), (135, 1), (136, 1), (137, 1), (138, 1), (139, 1), (140, 1), (141, 1), (142, 1), (143, 1), (144, 1), (145, 1), (146, 1), (147, 1), (148, 1), (149, 1), (150, 1), (151, 1), (152, 1), (153, 2), (154, 1), (155, 1), (156, 2), (157, 1), (158, 1), (159, 1), (160, 1), (161, 1), (162, 1), (163, 1), (164, 1), (165, 1), (166, 1), (167, 1), (168, 1), (169, 1), (170, 2), (171, 1), (172, 1), (173, 1), (174, 1), (175, 1), (176, 2), (177, 1), (178, 2), (179, 2), (180, 1), (181, 1), (182, 1), (183, 1), (184, 1), (185, 1), (186, 1), (187, 2), (188, 1), (189, 1), (190, 1), (191, 2), (192, 1), (193, 1), (194, 1), (195, 1), (196, 1), (197, 1), (198, 1), (199, 1), (200, 1), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (206, 1), (207, 1), (208, 1), (209, 1), (210, 1), (211, 1), (212, 1), (213, 1), (214, 1), (215, 1), (216, 1), (217, 1), (218, 1), (219, 1), (220, 1), (221, 1), (222, 1), (223, 1), (224, 1), (225, 1), (226, 1), (227, 1), (228, 1), (229, 1), (230, 1), (231, 1), (232, 1), (233, 1), (234, 1), (235, 1), (236, 1), (237, 1), (238, 1), (239, 2), (240, 1), (241, 2), (242, 1), (243, 1), (244, 1), (245, 1), (246, 1), (247, 1), (248, 1), (249, 1), (250, 1), (251, 1), (252, 1), (253, 1), (254, 1), (255, 1), (256, 1), (257, 1), (258, 2), (259, 1), (260, 2), (261, 1), (262, 1), (263, 1), (264, 1), (265, 1), (266, 1), (267, 1), (268, 1), (269, 1), (270, 1), (271, 1), (272, 1), (273, 1), (274, 1), (275, 2), (276, 1), (277, 1), (278, 1), (279, 2), (280, 1), (281, 1), (282, 1), (283, 1), (284, 1), (285, 2), (286, 1), (287, 1), (288, 1), (289, 1), (290, 1), (291, 1), (292, 1), (293, 1), (294, 1), (295, 1), (296, 1), (297, 2), (298, 1), (299, 1), (300, 2), (301, 1), (302, 1), (303, 1), (304, 1), (305, 1), (306, 1), (307, 1), (308, 1), (309, 1), (310, 1), (311, 1), (312, 3), (313, 1), (314, 4), (315, 1), (316, 1), (317, 1), (318, 1), (319, 1), (320, 1), (321, 1), (322, 1), (323, 1), (324, 3), (325, 1), (326, 1), (327, 2), (328, 2), (329, 1), (330, 1), (331, 1), (332, 1), (333, 1), (334, 1), (335, 1), (336, 1), (337, 2), (338, 2), (339, 1), (340, 2), (341, 1), (342, 1), (343, 1), (344, 1), (345, 4), (346, 1), (347, 1), (348, 1), (349, 1), (350, 1), (352, 1), (353, 1), (354, 1), (355, 1), (356, 1), (357, 1), (358, 2), (360, 1), (361, 1), (362, 1), (363, 1), (364, 1), (365, 1), (366, 1), (367, 1), (368, 1), (369, 3), (370, 4), (371, 1), (372, 1), (373, 1), (374, 1), (375, 1), (376, 1), (377, 1), (378, 2), (379, 1), (380, 1), (381, 2), (382, 1), (383, 1), (384, 1), (385, 1), (386, 1), (387, 1), (388, 1), (389, 1), (390, 1), (391, 1), (392, 1), (393, 1), (394, 1), (395, 1), (396, 1), (397, 1), (398, 1), (399, 1), (400, 1), (401, 1), (402, 1), (403, 2), (404, 1), (405, 1), (406, 1), (407, 1), (408, 1), (409, 1), (410, 1), (411, 1), (412, 2), (413, 1), (414, 1), (415, 1), (416, 1), (417, 3), (418, 1), (419, 1), (420, 2), (421, 2), (422, 1), (423, 1), (424, 2), (425, 2), (426, 1), (427, 1), (428, 1), (429, 1), (430, 1), (431, 1), (432, 1), (433, 1), (434, 1), (435, 1), (436, 1), (437, 1), (438, 1), (439, 2), (440, 1), (441, 1), (442, 1), (443, 1), (444, 1), (445, 1), (446, 1), (447, 1), (448, 1), (449, 1), (450, 1), (451, 1), (452, 2), (453, 2), (454, 2), (455, 2), (456, 1), (457, 2), (458, 1), (459, 1), (460, 1), (461, 1), (462, 1), (463, 1), (464, 1), (465, 1), (466, 1), (467, 3), (468, 3), (469, 1), (470, 1), (471, 1), (472, 1), (473, 1), (474, 1), (475, 1), (476, 1), (477, 2), (478, 1), (479, 1), (480, 1), (481, 2), (482, 1), (483, 1), (484, 1), (485, 1), (486, 1), (487, 1), (489, 1), (490, 1), (491, 1), (492, 1), (493, 1), (494, 1), (495, 1), (496, 1), (497, 1), (498, 1), (499, 1), (500, 1), (501, 1), (502, 1), (503, 1), (504, 4), (505, 1), (506, 1), (507, 1), (508, 1), (509, 1), (510, 1), (511, 1), (512, 1), (513, 1), (514, 1), (515, 1), (516, 1), (517, 1), (518, 1), (519, 1), (520, 1), (521, 1), (522, 1), (523, 1), (524, 1), (525, 1), (526, 1), (527, 1), (528, 1), (529, 1), (530, 1), (531, 1), (532, 1), (533, 1), (534, 1), (536, 1), (537, 1), (539, 1), (541, 1), (542, 1), (543, 1), (544, 1), (545, 1), (546, 1), (547, 1), (548, 1), (550, 1), (553, 1), (556, 1), (558, 1), (559, 1), (560, 1), (561, 1), (562, 1), (563, 1), (564, 1), (565, 1), (566, 1), (567, 1), (568, 1), (569, 1), (570, 1), (572, 1), (573, 1), (575, 1), (577, 1), (578, 1), (579, 1), (581, 1), (582, 1), (583, 1), (584, 1), (588, 1), (591, 1), (592, 1), (593, 1), (594, 1), (595, 1), (596, 1), (597, 1), (598, 1), (599, 1), (600, 1), (601, 1), (602, 2), (603, 1), (604, 1), (605, 1), (606, 1), (607, 1), (608, 1), (609, 1), (610, 1), (611, 1), (612, 1), (613, 1), (614, 1), (615, 1), (616, 1), (617, 1), (618, 1), (619, 1), (620, 1), (621, 1), (622, 1), (623, 1), (624, 1), (625, 1), (626, 1), (627, 1), (628, 1), (629, 1), (630, 1), (631, 1), (632, 1), (633, 1), (635, 1), (636, 1), (637, 1), (638, 1), (639, 1), (640, 1), (641, 1), (642, 1), (643, 1), (644, 1), (645, 2), (646, 1), (647, 1), (648, 2), (649, 1), (650, 1), (651, 1), (652, 2), (653, 1), (654, 1), (655, 1), (656, 1), (657, 1), (658, 1), (659, 1), (660, 1), (661, 1), (662, 1), (663, 2), (664, 1), (665, 1), (666, 1), (667, 1), (668, 1), (669, 1)]
深陷|[(424, 1)]
会见|[(17, 1), (518, 1), (523, 1)]
扛|[(273, 1)]
托|[(17, 1), (51, 1), (118, 1), (239, 1), (336, 1), (345, 1), (358, 1), (468, 1), (473, 1), (478, 1), (567, 1), (588, 1)]
两场|[(0, 1), (151, 1), (221, 1), (222, 1), (241, 1), (248, 1), (249, 1), (270, 2), (273, 1), (284, 1), (290, 1), (292, 1), (317, 1), (321, 1), (335, 1), (337, 1), (347, 1), (369, 1), (385, 1), (446, 1), (475, 1), (599, 1), (638, 1), (639, 1), (659, 4)]
英语|[(171, 1)]
美洲狮|[(126, 1)]
友谊赛|[(0, 2), (84, 1), (98, 1), (110, 1), (116, 1), (118, 1), (129, 3), (137, 1), (146, 1), (163, 1), (172, 2), (197, 1), (205, 2), (206, 1), (209, 1), (213, 1), (219, 1), (220, 1), (295, 2), (296, 1), (304, 1), (460, 1), (468, 1), (478, 1), (504, 2), (517, 1), (534, 1), (559, 1), (590, 1), (638, 2)]
儿时|[(152, 1)]
水晶宫|[(14, 3), (27, 1), (47, 2), (102, 1), (134, 38), (155, 2), (188, 1), (202, 2), (210, 5), (222, 1), (235, 6), (261, 1), (268, 2), (273, 3), (296, 3), (325, 1), (326, 1), (343, 4), (363, 2), (376, 1), (413, 3), (415, 3), (431, 1), (445, 1), (450, 5), (461, 1), (463, 1), (480, 2), (491, 3), (501, 1), (541, 2), (565, 3), (581, 5), (597, 3), (626, 6), (627, 5), (639, 2), (651, 4), (661, 3)]
扎|[(403, 5), (556, 5), (639, 2)]
国家|[(84, 1), (148, 1), (151, 1), (171, 1), (182, 1), (207, 1), (311, 2), (421, 1), (456, 1), (484, 1), (497, 1), (592, 1), (639, 1)]
中来|[(406, 1)]
想必|[(300, 1), (639, 1)]
往往|[(187, 2)]
发文|[(459, 1)]
认定|[(639, 1)]
艾斯卡|[(368, 1)]
横穿|[(378, 1)]
英媒|[(184, 1), (577, 1)]
买下|[(30, 3), (51, 1), (104, 1), (129, 1), (132, 1), (207, 1), (240, 1), (248, 1), (259, 1), (301, 1), (364, 1), (482, 1), (519, 1), (531, 2), (558, 1), (564, 1), (576, 1), (587, 1)]
豪强|[(6, 1), (17, 1), (45, 1), (51, 1), (75, 1), (82, 1), (89, 1), (98, 1), (118, 1), (178, 1), (239, 1), (268, 1), (412, 1), (467, 2), (483, 1), (518, 1), (523, 1), (543, 1), (553, 1), (577, 1), (588, 1), (617, 1)]
无望|[(450, 1), (523, 1), (549, 1), (552, 1)]
辗转|[(140, 1)]
拉诺|[(98, 1), (254, 1)]
粉碎|[(185, 1)]
图伊迪|[(257, 1)]
托雷拉|[(462, 5), (579, 3)]
会以|[(100, 1), (139, 1), (548, 1), (632, 1)]
会令|[(282, 1), (472, 1)]
墨菲说|[(475, 1)]
插至|[(602, 1)]
韦利|[(369, 1)]
